,car,Date,Dealer_Name,Dealer_Region,Company,Model,Engine,Transmission,Color_car,Body Style,Price
4746,C_CND_004747,8/21/2022,Saab-Belle Dodge,Aurora,CMP_001,Ranger,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$61,000 "
4747,C_CND_004748,8/21/2022,Suburban Ford,Janesville,CMP_027,GS400,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$12,000 "
4748,C_CND_004749,8/21/2022,Tri-State Mack Inc,Scottsdale,CMP_004,Corolla,Overhead Camshaft,Manual,Red,Passenger,"$14,000 "
4749,C_CND_004750,8/21/2022,U-Haul CO,Austin,CMP_018,Passat,Overhead Camshaft,Manual,Pale White,Hatchback,"$27,000 "
4750,C_CND_004751,8/21/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_001,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$41,000 "
4751,C_CND_004752,8/21/2022,Rabun Used Car Sales,Scottsdale,CMP_002,Durango,Overhead Camshaft,Manual,Red,SUV,"$31,000 "
4752,C_CND_004753,8/21/2022,Race Car Help,Austin,CMP_006,Diamante,Overhead Camshaft,Manual,Red,Hatchback,"$12,000 "
4753,C_CND_004754,8/21/2022,Ryder Truck Rental and Leasing,Middletown,CMP_007,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$25,600 "
4754,C_CND_004755,8/21/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_007,Prizm,Overhead Camshaft,Manual,Black,Hardtop,"$16,000 "
4755,C_CND_004756,8/21/2022,Rabun Used Car Sales,Scottsdale,CMP_011,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop,"$42,000 "
4756,C_CND_004757,8/21/2022,Suburban Ford,Janesville,CMP_018,Golf,DoubleÂ Overhead Camshaft,Auto,Red,Hardtop,"$35,000 "
4757,C_CND_004758,8/21/2022,Saab-Belle Dodge,Aurora,CMP_008,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Red,Hardtop,"$21,000 "
4758,C_CND_004759,8/21/2022,Tri-State Mack Inc,Scottsdale,CMP_018,Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$17,200 "
4759,C_CND_004760,8/21/2022,C & M Motors Inc,Aurora,CMP_001,Ranger,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$61,500 "
4760,C_CND_004761,8/21/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_025,Town car,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$18,200 "
4761,C_CND_004762,8/21/2022,C & M Motors Inc,Aurora,CMP_006,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$18,500 "
4762,C_CND_004763,8/21/2022,Suburban Ford,Janesville,CMP_005,RL,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$24,701 "
4763,C_CND_004764,8/21/2022,Tri-State Mack Inc,Scottsdale,CMP_013,Elantra,Overhead Camshaft,Manual,Red,Sedan,"$22,001 "
4764,C_CND_004765,8/21/2022,U-Haul CO,Austin,CMP_021,S-Class,Overhead Camshaft,Manual,Red,SUV,"$21,001 "
4765,C_CND_004766,8/21/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_018,Passat,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$13,001 "
4766,C_CND_004767,8/21/2022,Rabun Used Car Sales,Scottsdale,CMP_018,Beetle,DoubleÂ Overhead Camshaft,Auto,Red,SUV,"$45,601 "
4767,C_CND_004768,8/21/2022,Race Car Help,Austin,CMP_007,Malibu,Overhead Camshaft,Manual,Pale White,SUV,"$14,000 "
4768,C_CND_004769,8/21/2022,Ryder Truck Rental and Leasing,Middletown,CMP_012,Forester,Overhead Camshaft,Manual,Red,SUV,"$26,000 "
4769,C_CND_004770,8/21/2022,Saab-Belle Dodge,Aurora,CMP_013,Sonata,Overhead Camshaft,Manual,Red,SUV,"$21,000 "
4770,C_CND_004771,8/21/2022,Scrivener Performance Engineering,Greenville,CMP_002,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$10,000 "
4771,C_CND_004772,8/21/2022,Star Enterprises Inc,Pasco,CMP_006,Montero Sport,Overhead Camshaft,Manual,Red,SUV,"$29,001 "
4772,C_CND_004773,8/21/2022,Suburban Ford,Janesville,CMP_002,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$60,001 "
4773,C_CND_004774,8/21/2022,Tri-State Mack Inc,Scottsdale,CMP_026,Aurora,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$24,001 "
4774,C_CND_004775,8/21/2022,U-Haul CO,Austin,CMP_007,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$46,000 "
4775,C_CND_004776,8/21/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_029,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$23,500 "
4776,C_CND_004777,8/21/2022,C & M Motors Inc,Aurora,CMP_004,RAV4,Overhead Camshaft,Manual,Pale White,Hatchback,"$22,000 "
4777,C_CND_004778,8/21/2022,Capitol KIA,Greenville,CMP_009,Cougar,Overhead Camshaft,Manual,Red,Hatchback,"$22,000 "
4778,C_CND_004779,8/21/2022,Suburban Ford,Janesville,CMP_016,A6,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$27,000 "
4779,C_CND_004780,8/21/2022,Tri-State Mack Inc,Scottsdale,CMP_001,Expedition,Overhead Camshaft,Manual,Black,SUV,"$10,000 "
4780,C_CND_004781,8/21/2022,U-Haul CO,Austin,CMP_004,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$45,000 "
4781,C_CND_004782,8/21/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_017,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,Hardtop,"$22,001 "
4782,C_CND_004783,8/21/2022,Rabun Used Car Sales,Austin,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Black,Hardtop,"$19,001 "
4783,C_CND_004784,8/21/2022,Capitol KIA,Greenville,CMP_026,Bravada,Overhead Camshaft,Manual,Black,Hatchback,"$17,000 "
4784,C_CND_004785,8/21/2022,Chrysler Plymouth,Janesville,CMP_006,Montero Sport,Overhead Camshaft,Manual,Pale White,Hardtop,"$12,000 "
4785,C_CND_004786,8/21/2022,Chrysler Plymouth,Janesville,CMP_025,Town car,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$26,750 "
4786,C_CND_004787,8/21/2022,Classic Chevy,Scottsdale,CMP_010,323i,Overhead Camshaft,Manual,Red,Hatchback,"$21,100 "
4787,C_CND_004788,8/21/2022,Clay Johnson Auto Sales,Austin,CMP_020,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$18,000 "
4788,C_CND_004789,8/21/2022,Diehl Motor CO Inc,Middletown,CMP_024,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$19,000 "
4789,C_CND_004790,8/21/2022,Enterprise Rent A Car,Aurora,CMP_021,C-Class,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$14,000 "
4790,C_CND_004791,8/21/2022,Gartner Buick Hyundai Saab,Greenville,CMP_001,Contour,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$19,000 "
4791,C_CND_004792,8/21/2022,Hatfield Volkswagen,Pasco,CMP_029,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$69,000 "
4792,C_CND_004793,8/21/2022,Iceberg Rentals,Janesville,CMP_001,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$26,000 "
4793,C_CND_004794,8/21/2022,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_030,Wrangler,Overhead Camshaft,Manual,Pale White,Hatchback,"$23,000 "
4794,C_CND_004795,8/21/2022,Iceberg Rentals,Janesville,CMP_016,A4,Overhead Camshaft,Manual,Pale White,Hardtop,"$12,000 "
4795,C_CND_004796,8/21/2022,Progressive Shippers Cooperative Association No,Pasco,CMP_004,Sienna,Overhead Camshaft,Manual,Black,Passenger,"$12,000 "
4796,C_CND_004797,8/21/2022,Rabun Used Car Sales,Janesville,CMP_004,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$25,000 "
4797,C_CND_004798,8/21/2022,Race Car Help,Scottsdale,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$69,000 "
4798,C_CND_004799,8/21/2022,Ryder Truck Rental and Leasing,Austin,CMP_004,Camry,Overhead Camshaft,Manual,Black,Hatchback,"$34,000 "
4799,C_CND_004800,8/21/2022,Saab-Belle Dodge,Janesville,CMP_009,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$33,000 "
4800,C_CND_004801,8/21/2022,Scrivener Performance Engineering,Scottsdale,CMP_018,Jetta,Overhead Camshaft,Manual,Pale White,Passenger,"$45,000 "
4801,C_CND_004802,8/21/2022,Star Enterprises Inc,Austin,CMP_010,528i,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$31,000 "
4802,C_CND_004803,8/21/2022,Star Enterprises Inc,Greenville,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Pale White,Hardtop,"$21,500 "
4803,C_CND_004804,8/21/2022,Tri-State Mack Inc,Aurora,CMP_011,Town & Country,Overhead Camshaft,Manual,Pale White,Sedan,"$17,500 "
4804,C_CND_004805,8/21/2022,U-Haul CO,Greenville,CMP_007,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$17,000 "
4805,C_CND_004806,8/21/2022,Buddy Storbeck's Diesel Service Inc,Pasco,CMP_007,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$25,000 "
4806,C_CND_004807,8/21/2022,C & M Motors Inc,Janesville,CMP_024,Sunfire,Overhead Camshaft,Manual,Pale White,Sedan,"$28,000 "
4807,C_CND_004808,8/21/2022,Capitol KIA,Scottsdale,CMP_021,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$10,500 "
4808,C_CND_004809,8/21/2022,Tri-State Mack Inc,Janesville,CMP_011,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop,"$46,000 "
4809,C_CND_004810,8/21/2022,Chrysler Plymouth,Middletown,CMP_006,Diamante,Overhead Camshaft,Manual,Black,Hatchback,"$49,000 "
4810,C_CND_004811,8/22/2022,Ryder Truck Rental and Leasing,Middletown,CMP_011,LHS,Overhead Camshaft,Manual,Black,Hatchback,"$51,000 "
4811,C_CND_004812,8/22/2022,Saab-Belle Dodge,Aurora,CMP_029,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$18,000 "
4812,C_CND_004813,8/22/2022,Capitol KIA,Greenville,CMP_024,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$19,000 "
4813,C_CND_004814,8/22/2022,Chrysler of Tri-Cities,Pasco,CMP_024,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$19,000 "
4814,C_CND_004815,8/22/2022,Chrysler of Tri-Cities,Pasco,CMP_025,Town car,Overhead Camshaft,Manual,Black,Hatchback,"$17,000 "
4815,C_CND_004816,8/22/2022,Chrysler Plymouth,Janesville,CMP_020,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$51,000 "
4816,C_CND_004817,8/22/2022,Motor Vehicle Branch Office,Austin,CMP_020,LS,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$24,000 "
4817,C_CND_004818,8/22/2022,Nebo Chevrolet,Middletown,CMP_024,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$12,000 "
4818,C_CND_004819,8/22/2022,Classic Chevy,Aurora,CMP_016,A6,Overhead Camshaft,Manual,Black,SUV,"$15,000 "
4819,C_CND_004820,8/22/2022,Clay Johnson Auto Sales,Greenville,CMP_008,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$16,000 "
4820,C_CND_004821,8/23/2022,Scrivener Performance Engineering,Greenville,CMP_002,Ram Van,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$31,000 "
4821,C_CND_004822,8/23/2022,Star Enterprises Inc,Pasco,CMP_007,Impala,Overhead Camshaft,Manual,Pale White,Hatchback,"$14,000 "
4822,C_CND_004823,8/23/2022,Suburban Ford,Janesville,CMP_020,SC,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$33,000 "
4823,C_CND_004824,8/23/2022,U-Haul CO,Austin,CMP_007,Monte Carlo,Overhead Camshaft,Manual,Pale White,Hatchback,"$26,000 "
4824,C_CND_004825,8/23/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_021,SLK,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$36,000 "
4825,C_CND_004826,8/23/2022,Rabun Used Car Sales,Scottsdale,CMP_005,RL,Overhead Camshaft,Manual,Red,SUV,"$31,000 "
4826,C_CND_004827,8/23/2022,Race Car Help,Austin,CMP_028,Prowler,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$15,500 "
4827,C_CND_004828,8/23/2022,Ryder Truck Rental and Leasing,Middletown,CMP_002,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$60,000 "
4828,C_CND_004829,8/23/2022,Saab-Belle Dodge,Aurora,CMP_026,Cutlass,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$41,500 "
4829,C_CND_004830,8/23/2022,Scrivener Performance Engineering,Greenville,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$69,000 "
4830,C_CND_004831,8/23/2022,Star Enterprises Inc,Pasco,CMP_016,A6,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$14,000 "
4831,C_CND_004832,8/23/2022,Enterprise Rent A Car,Aurora,CMP_027,RX300,Overhead Camshaft,Manual,Black,Hardtop,"$18,000 "
4832,C_CND_004833,8/23/2022,C & M Motors Inc,Aurora,CMP_007,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,"$57,000 "
4833,C_CND_004834,8/23/2022,Clay Johnson Auto Sales,Austin,CMP_025,Town car,Overhead Camshaft,Manual,Pale White,Hatchback,"$33,500 "
4834,C_CND_004835,8/23/2022,Diehl Motor CO Inc,Middletown,CMP_019,Park Avenue,Overhead Camshaft,Manual,Black,Hatchback,"$29,000 "
4835,C_CND_004836,8/23/2022,Enterprise Rent A Car,Aurora,CMP_028,Voyager,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$22,000 "
4836,C_CND_004837,8/23/2022,Gartner Buick Hyundai Saab,Greenville,CMP_001,Explorer,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$41,000 "
4837,C_CND_004838,8/23/2022,Hatfield Volkswagen,Pasco,CMP_007,Metro,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$31,500 "
4838,C_CND_004839,8/23/2022,Iceberg Rentals,Janesville,CMP_009,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$19,000 "
4839,C_CND_004840,8/23/2022,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_006,Diamante,Overhead Camshaft,Manual,Red,Hatchback,"$25,200 "
4840,C_CND_004841,8/23/2022,Motor Vehicle Branch Office,Austin,CMP_027,GS300,Overhead Camshaft,Manual,Black,Passenger,"$51,000 "
4841,C_CND_004842,8/23/2022,Nebo Chevrolet,Middletown,CMP_010,323i,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$19,750 "
4842,C_CND_004843,8/23/2022,Classic Chevy,Scottsdale,CMP_027,GS400,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$25,000 "
4843,C_CND_004844,8/23/2022,Clay Johnson Auto Sales,Austin,CMP_014,CR-V,DoubleÂ Overhead Camshaft,Auto,Red,SUV,"$39,000 "
4844,C_CND_004845,8/23/2022,Diehl Motor CO Inc,Middletown,CMP_025,Continental,Overhead Camshaft,Manual,Pale White,Passenger,"$20,500 "
4845,C_CND_004846,8/23/2022,Enterprise Rent A Car,Aurora,CMP_014,Accord,Overhead Camshaft,Manual,Black,Sedan,"$43,001 "
4846,C_CND_004847,8/23/2022,Gartner Buick Hyundai Saab,Greenville,CMP_028,Prowler,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$27,001 "
4847,C_CND_004848,8/23/2022,Hatfield Volkswagen,Pasco,CMP_004,RAV4,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$28,000 "
4848,C_CND_004849,8/23/2022,Iceberg Rentals,Janesville,CMP_007,Monte Carlo,Overhead Camshaft,Manual,Black,Hatchback,"$44,000 "
4849,C_CND_004850,8/23/2022,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_014,CR-V,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$31,000 "
4850,C_CND_004851,8/23/2022,Motor Vehicle Branch Office,Austin,CMP_025,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$19,000 "
4851,C_CND_004852,8/23/2022,Nebo Chevrolet,Middletown,CMP_008,Frontier,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$26,000 "
4852,C_CND_004853,8/23/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$69,000 "
4853,C_CND_004854,8/23/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_009,Villager,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$16,000 "
4854,C_CND_004855,8/23/2022,Pars Auto Sales,Greenville,CMP_006,3000GT,Overhead Camshaft,Manual,Red,Sedan,"$24,000 "
4855,C_CND_004856,8/23/2022,Gartner Buick Hyundai Saab,Greenville,CMP_007,Prizm,Overhead Camshaft,Manual,Red,Hardtop,"$21,000 "
4856,C_CND_004857,8/23/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_021,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$31,000 "
4857,C_CND_004858,8/23/2022,Rabun Used Car Sales,Scottsdale,CMP_018,Cabrio,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$16,000 "
4858,C_CND_004859,8/23/2022,Race Car Help,Austin,CMP_001,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$62,000 "
4859,C_CND_004860,8/23/2022,Ryder Truck Rental and Leasing,Middletown,CMP_020,SW,Overhead Camshaft,Manual,Black,Passenger,"$36,000 "
4860,C_CND_004861,8/23/2022,Saab-Belle Dodge,Aurora,CMP_010,328i,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$16,000 "
4861,C_CND_004862,8/23/2022,Motor Vehicle Branch Office,Austin,CMP_023,S70,Overhead Camshaft,Manual,Black,Hardtop,"$22,000 "
4862,C_CND_004863,8/23/2022,Star Enterprises Inc,Pasco,CMP_005,TL,Overhead Camshaft,Manual,Pale White,Hatchback,"$14,000 "
4863,C_CND_004864,8/23/2022,Suburban Ford,Janesville,CMP_002,Intrepid,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$31,000 "
4864,C_CND_004865,8/23/2022,Diehl Motor CO Inc,Pasco,CMP_020,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$45,000 "
4865,C_CND_004866,8/23/2022,Enterprise Rent A Car,Janesville,CMP_028,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$27,000 "
4866,C_CND_004867,8/23/2022,Gartner Buick Hyundai Saab,Scottsdale,CMP_005,RL,Overhead Camshaft,Manual,Pale White,SUV,"$17,000 "
4867,C_CND_004868,8/23/2022,Hatfield Volkswagen,Austin,CMP_004,Sienna,Overhead Camshaft,Manual,Black,Passenger,"$16,700 "
4868,C_CND_004869,8/23/2022,Iceberg Rentals,Middletown,CMP_004,Corolla,DoubleÂ Overhead Camshaft,Auto,Red,Passenger,"$41,000 "
4869,C_CND_004870,8/23/2022,McKinney Dodge Chrysler Jeep,Aurora,CMP_004,Camry,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$31,400 "
4870,C_CND_004871,8/23/2022,Motor Vehicle Branch Office,Greenville,CMP_002,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$25,500 "
4871,C_CND_004872,8/23/2022,Nebo Chevrolet,Pasco,CMP_021,SLK230,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$33,000 "
4872,C_CND_004873,8/23/2022,New Castle Ford Lincoln Mercury,Janesville,CMP_030,Grand Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$36,600 "
4873,C_CND_004874,8/23/2022,C & M Motors Inc,Pasco,CMP_006,Eclipse,Overhead Camshaft,Manual,Black,Hardtop,"$25,000 "
4874,C_CND_004875,8/23/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Austin,CMP_013,Elantra,Overhead Camshaft,Manual,Pale White,Sedan,"$26,000 "
4875,C_CND_004876,8/24/2022,Suburban Ford,Janesville,CMP_026,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$46,000 "
4876,C_CND_004877,8/24/2022,Tri-State Mack Inc,Scottsdale,CMP_006,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$19,000 "
4877,C_CND_004878,8/24/2022,U-Haul CO,Austin,CMP_008,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$20,000 "
4878,C_CND_004879,8/24/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_010,528i,Overhead Camshaft,Manual,Red,SUV,"$29,001 "
4879,C_CND_004880,8/24/2022,C & M Motors Inc,Aurora,CMP_014,Accord,Overhead Camshaft,Manual,Black,Sedan,"$43,001 "
4880,C_CND_004881,8/24/2022,Capitol KIA,Greenville,CMP_023,V70,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$39,001 "
4881,C_CND_004882,8/24/2022,Chrysler of Tri-Cities,Pasco,CMP_001,Taurus,Overhead Camshaft,Manual,Black,SUV,"$69,101 "
4882,C_CND_004883,8/24/2022,Chrysler Plymouth,Janesville,CMP_022,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$16,001 "
4883,C_CND_004884,8/24/2022,Classic Chevy,Scottsdale,CMP_025,Town car,Overhead Camshaft,Manual,Black,Hatchback,"$17,001 "
4884,C_CND_004885,8/24/2022,Clay Johnson Auto Sales,Austin,CMP_020,SC,DoubleÂ Overhead Camshaft,Auto,Red,SUV,"$12,001 "
4885,C_CND_004886,8/24/2022,Diehl Motor CO Inc,Middletown,CMP_016,A6,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$27,001 "
4886,C_CND_004887,8/24/2022,Enterprise Rent A Car,Aurora,CMP_001,Expedition,Overhead Camshaft,Manual,Black,SUV,"$10,001 "
4887,C_CND_004888,8/24/2022,Gartner Buick Hyundai Saab,Greenville,CMP_004,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$45,001 "
4888,C_CND_004889,8/24/2022,Hatfield Volkswagen,Pasco,CMP_021,SL-Class,Overhead Camshaft,Manual,Black,SUV,"$38,001 "
4889,C_CND_004890,8/24/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_005,TL,Overhead Camshaft,Manual,Black,Hatchback,"$21,000 "
4890,C_CND_004891,8/24/2022,Capitol KIA,Greenville,CMP_001,Focus,Overhead Camshaft,Manual,Black,Hardtop,"$49,000 "
4891,C_CND_004892,8/24/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_016,A6,Overhead Camshaft,Manual,Black,SUV,"$15,500 "
4892,C_CND_004893,8/24/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_011,Town & Country,Overhead Camshaft,Manual,Pale White,Sedan,"$17,000 "
4893,C_CND_004894,8/24/2022,Suburban Ford,Janesville,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Pale White,Hardtop,"$16,001 "
4894,C_CND_004895,8/24/2022,Race Car Help,Austin,CMP_026,Silhouette,Overhead Camshaft,Manual,Pale White,Sedan,"$26,000 "
4895,C_CND_004896,8/24/2022,Tri-State Mack Inc,Austin,CMP_008,Pathfinder,Overhead Camshaft,Manual,Black,Hardtop,"$69,001 "
4896,C_CND_004897,8/24/2022,Saab-Belle Dodge,Aurora,CMP_001,Windstar,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$31,750 "
4897,C_CND_004898,8/24/2022,Scrivener Performance Engineering,Greenville,CMP_009,Sable,DoubleÂ Overhead Camshaft,Auto,Red,Sedan,"$39,500 "
4898,C_CND_004899,8/24/2022,Star Enterprises Inc,Pasco,CMP_004,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$21,500 "
4899,C_CND_004900,8/24/2022,Suburban Ford,Janesville,CMP_019,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$62,000 "
4900,C_CND_004901,8/24/2022,U-Haul CO,Austin,CMP_002,Ram Pickup,DoubleÂ Overhead Camshaft,Auto,Red,Hardtop,"$57,001 "
4901,C_CND_004902,8/24/2022,U-Haul CO,Austin,CMP_021,S-Class,Overhead Camshaft,Manual,Black,SUV,"$18,000 "
4902,C_CND_004903,8/24/2022,Rabun Used Car Sales,Austin,CMP_017,Carrera Coupe,Overhead Camshaft,Manual,Black,Hardtop,"$16,001 "
4903,C_CND_004904,8/24/2022,Pars Auto Sales,Greenville,CMP_001,Mustang,Overhead Camshaft,Manual,Black,Hatchback,"$22,600 "
4904,C_CND_004905,8/24/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_023,S80,Overhead Camshaft,Manual,Pale White,Sedan,"$21,000 "
4905,C_CND_004906,8/24/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_011,Sebring Coupe,Overhead Camshaft,Manual,Red,Sedan,"$21,000 "
4906,C_CND_004907,8/24/2022,Rabun Used Car Sales,Scottsdale,CMP_001,Ranger,Overhead Camshaft,Manual,Black,SUV,"$18,000 "
4907,C_CND_004908,8/24/2022,Race Car Help,Austin,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$17,000 "
4908,C_CND_004909,8/24/2022,Ryder Truck Rental and Leasing,Middletown,CMP_026,Silhouette,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$60,001 "
4909,C_CND_004910,8/24/2022,Saab-Belle Dodge,Aurora,CMP_028,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$27,501 "
4910,C_CND_004911,8/24/2022,Scrivener Performance Engineering,Greenville,CMP_014,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$21,000 "
4911,C_CND_004912,8/24/2022,Star Enterprises Inc,Pasco,CMP_003,Eldorado,Overhead Camshaft,Manual,Black,Passenger,"$29,000 "
4912,C_CND_004913,8/24/2022,Suburban Ford,Janesville,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$22,000 "
4913,C_CND_004914,8/24/2022,Tri-State Mack Inc,Scottsdale,CMP_002,Stratus,Overhead Camshaft,Manual,Red,Hatchback,"$37,000 "
4914,C_CND_004915,8/24/2022,U-Haul CO,Austin,CMP_013,Sonata,Overhead Camshaft,Manual,Pale White,SUV,"$13,000 "
4915,C_CND_004916,8/24/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_002,Durango,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$24,000 "
4916,C_CND_004917,8/24/2022,Rabun Used Car Sales,Scottsdale,CMP_018,Passat,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$9,000 "
