kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50543;1;2;2;3.0;5;0;10;0;0;0;0;520;290;0;0;0;0;10;1.0;2.0;1.0;1.0;2.0
50543;2;2;1;3.0;5;0;10;10;0;20;0;480;290;0;90;0;70;0;1.0;1.0;1.0;1.0;1.0
50544;1;1;1;1.0;5;0;20;10;0;0;30;560;80;0;180;0;160;20;1.0;1.0;2.0;1.0;2.0
50547;1;2;1;3.0;6;470;70;0;0;0;0;550;70;0;0;0;40;0;2.0;2.0;2.0;2.0;2.0
50547;2;2;2;3.0;6;540;100;20;0;0;0;460;50;0;30;0;50;0;2.0;?;2.0;2.0;2.0
50560;1;1;2;3.0;3;60;?;10;0;0;0;430;120;350;0;0;10;0;1.0;1.0;2.0;1.0;1.0
50568;1;1;2;1.0;6;150;50;0;0;0;0;640;70;0;50;0;80;0;2.0;1.0;2.0;1.0;1.0
50568;2;1;1;1.0;6;170;20;0;0;0;0;690;70;0;90;0;150;0;2.0;1.0;2.0;1.0;1.0
50569;1;2;1;1.0;7;0;0;0;0;0;0;620;40;0;150;0;450;0;1.0;1.0;2.0;1.0;2.0
50569;2;2;2;1.0;7;0;30;20;0;0;10;500;50;0;20;0;110;40;1.0;1.0;1.0;1.0;2.0
50572;1;2;2;1.0;4;0;30;0;0;0;200;540;50;0;20;0;10;10;1.0;1.0;1.0;1.0;2.0
50572;2;2;1;1.0;3;0;0;0;0;0;0;950;20;0;100;0;0;0;?;2.0;1.0;1.0;1.0
50581;1;2;2;1.0;7;0;10;0;0;0;0;600;130;0;80;0;0;0;2.0;1.0;2.0;1.0;2.0
50581;2;2;1;1.0;6;0;0;0;0;0;20;600;90;0;20;0;150;0;2.0;1.0;1.0;2.0;1.0
50587;1;2;2;2.0;8;0;30;0;0;0;0;520;50;0;60;0;380;10;2.0;2.0;2.0;2.0;2.0
50588;1;1;1;1.0;7;0;0;0;0;0;0;530;110;0;0;0;50;0;1.0;1.0;2.0;2.0;?
50588;2;1;2;1.0;7;0;0;0;0;230;0;510;140;0;10;0;80;0;1.0;1.0;2.0;1.0;1.0
50591;1;1;2;1.0;6;830;10;0;0;0;0;350;40;0;?;0;0;0;1.0;1.0;1.0;1.0;2.0
50591;2;1;1;1.0;6;760;0;10;0;0;0;410;50;0;30;0;0;10;2.0;1.0;1.0;1.0;2.0
50592;1;1;1;1.0;5;0;0;0;0;0;20;500;100;0;0;0;180;20;2.0;2.0;2.0;1.0;1.0
50592;2;1;2;1.0;5;0;30;0;0;0;10;520;90;0;0;0;250;0;1.0;2.0;1.0;1.0;1.0
50599;2;2;1;1.0;6;480;0;0;0;0;0;450;80;0;30;0;210;0;1.0;1.0;2.0;2.0;1.0
50601;1;1;1;1.0;4;0;10;0;0;0;0;670;10;0;0;0;500;0;1.0;2.0;2.0;1.0;1.0
50605;1;2;2;1.0;3;0;10;10;0;0;30;450;160;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0
50605;2;2;1;1.0;4;0;?;0;0;0;0;510;90;0;0;?;60;0;1.0;1.0;1.0;1.0;1.0
50611;1;1;2;1.0;7;0;40;?;0;0;60;650;120;0;0;0;260;0;2.0;1.0;1.0;1.0;1.0
50615;1;1;2;1.0;7;0;0;0;0;0;0;620;60;0;0;0;150;130;1.0;1.0;1.0;1.0;1.0
50616;1;2;1;2.0;7;0;0;0;0;0;30;480;160;0;0;0;350;0;2.0;2.0;2.0;1.0;2.0
50616;2;2;2;2.0;7;0;110;20;0;0;30;540;130;0;70;0;10;60;2.0;2.0;2.0;1.0;2.0
50622;1;2;1;2.0;9;0;40;?;0;0;70;470;130;0;60;160;200;0;2.0;2.0;2.0;2.0;1.0
50624;1;1;2;1.0;7;0;80;40;0;0;20;490;80;0;230;0;0;10;1.0;1.0;1.0;1.0;1.0
50624;2;1;1;1.0;7;470;0;0;0;0;30;500;80;0;10;0;160;0;?;?;?;?;?
50625;1;2;1;2.0;5;0;0;0;0;0;20;450;90;0;40;0;240;0;1.0;1.0;2.0;1.0;1.0
50625;2;2;2;2.0;5;0;0;10;0;0;20;530;80;0;190;0;20;0;?;1.0;1.0;1.0;1.0
50626;1;2;2;3.0;4;0;60;0;150;80;110;550;90;0;0;0;120;0;1.0;2.0;2.0;1.0;2.0
50626;2;2;1;3.0;4;0;0;0;0;0;0;630;160;0;0;0;120;0;?;?;?;?;?
50629;1;1;2;3.0;4;0;0;30;0;0;0;560;100;0;0;0;0;0;1.0;2.0;1.0;1.0;1.0
50629;2;1;1;3.0;4;0;0;0;0;0;0;660;150;0;0;0;10;0;1.0;2.0;2.0;1.0;1.0
50631;1;1;1;3.0;8;00:00;00:00;00:00;00:00;00:00;00:00;07:30;01:00;00:00;02:10;00:00;03:30;00:00;2.0;2.0;2.0;2.0;2.0
50631;2;1;2;3.0;8;00:00;01:10;00:40;00:00;00:00;00:00;07:40;01:20;00:00;00:20;00:00;03:10;00:00;2.0;2.0;1.0;2.0;2.0
50633;1;2;1;1.0;7;0;30;0;0;0;230;430;80;0;60;0;170;0;2.0;1.0;2.0;1.0;1.0
50635;1;1;1;1.0;7;440;10;0;0;0;60;530;30;0;0;0;240;0;2.0;2.0;2.0;1.0;2.0
50637;1;2;2;2.0;9;0;80;0;0;0;90;690;120;0;10;0;100;0;2.0;1.0;1.0;2.0;2.0
50639;2;1;1;1.0;6;0;60;0;0;0;0;480;50;0;0;0;320;0;1.0;1.0;1.0;1.0;1.0
50647;2;1;1;3.0;6;0;50;10;0;0;90;600;110;0;0;0;150;0;1.0;2.0;1.0;1.0;1.0
50653;1;1;2;1.0;7;0;40;30;0;0;0;540;90;0;60;10;200;30;2.0;2.0;2.0;1.0;2.0
50655;1;2;2;3.0;7;0;40;20;0;0;0;300;220;0;40;0;420;0;2.0;2.0;2.0;1.0;1.0
50655;2;2;1;3.0;7;0;70;0;0;0;0;420;20;0;50;0;460;0;2.0;1.0;2.0;1.0;1.0
50657;1;2;2;1.0;5;0;30;0;0;0;0;730;60;0;0;0;140;0;2.0;2.0;2.0;2.0;2.0
50657;2;2;1;1.0;7;0;0;0;0;0;0;540;40;0;20;?;270;0;?;2.0;2.0;2.0;2.0
50662;1;2;2;1.0;6;0;10;0;0;0;0;600;90;0;20;0;50;50;1.0;1.0;1.0;2.0;1.0
50664;1;2;1;1.0;6;0;40;0;0;0;0;670;80;0;0;0;360;0;2.0;2.0;2.0;2.0;1.0
50665;1;2;1;3.0;8;0;0;0;0;0;40;470;190;0;90;0;200;0;2.0;2.0;2.0;1.0;2.0
50665;2;2;2;3.0;8;0;130;40;0;0;10;500;180;0;10;0;190;0;2.0;2.0;2.0;1.0;2.0
50666;1;2;2;1.0;9;0;0;0;0;0;0;650;90;0;50;0;200;0;240.0;180.0;60.0;0.0;120.0
50666;2;2;1;1.0;9;0;0;0;0;0;0;620;90;0;120;0;170;0;60.0;180.0;120.0;0.0;240.0
50673;1;1;1;1.0;7;630;50;0;0;0;0;450;60;0;60;0;100;0;2.0;2.0;2.0;2.0;1.0
50673;2;1;2;1.0;7;510;0;0;0;0;10;380;40;0;80;0;260;0;2.0;2.0;1.0;1.0;2.0
50680;1;2;1;2.0;7;0;10;0;0;0;0;720;20;0;50;0;330;0;2.0;2.0;1.0;2.0;2.0
50680;2;2;2;2.0;7;0;0;0;0;0;0;520;200;0;40;0;0;0;2.0;2.0;1.0;1.0;2.0
50682;1;1;1;1.0;9;0;60;0;0;0;60;540;270;0;0;0;120;0;2.0;2.0;2.0;2.0;2.0
50682;2;1;2;1.0;9;0;60;30;0;0;70;?;230;0;60;0;240;0;1.0;1.0;1.0;2.0;2.0
50685;1;1;1;1.0;6;0;0;0;0;0;0;570;250;0;0;0;190;0;2.0;2.0;2.0;1.0;2.0
50685;2;1;2;1.0;6;0;60;0;0;0;40;630;130;0;70;0;120;0;2.0;2.0;2.0;1.0;?
50689;2;1;1;2.0;6;0;10;0;0;0;0;840;40;0;120;0;270;0;2.0;1.0;2.0;2.0;1.0
50690;1;2;2;1.0;9;0;20;10;0;0;90;680;40;0;10;0;300;0;2.0;2.0;2.0;2.0;2.0
50691;1;2;1;2.0;4;0;20;0;0;0;0;630;40;0;0;0;450;0;1.0;1.0;1.0;1.0;1.0
50691;2;2;2;2.0;3;460;70;0;0;0;0;630;20;0;40;0;80;0;1.0;1.0;1.0;1.0;1.0
50696;1;1;1;2.0;4;30;20;0;10;0;0;520;70;0;10;0;0;0;2.0;2.0;2.0;2.0;2.0
50696;2;1;2;2.0;4;0;0;0;150;0;30;500;70;0;20;0;0;0;2.0;2.0;2.0;1.0;2.0
50704;1;2;2;1.0;8;0;20;0;0;0;0;620;90;0;0;0;130;0;2.0;2.0;1.0;2.0;2.0
50709;1;2;2;1.0;5;00:00;00:10;00:30;00:10;01:40;00:00;09:10;02:20;00:00;00:00;00:00;01:40;00:00;1.0;2.0;2.0;1.0;1.0
50709;2;2;1;1.0;5;00:00;00:10;00:00;00:00;00:00;00:00;10:00;01:00;00:00;00:30;00:00;02:30;00:00;1.0;2.0;2.0;1.0;1.0
50713;1;1;1;1.0;5;380;30;0;0;0;20;470;60;0;70;0;190;0;1.0;2.0;2.0;1.0;1.0
50713;2;1;2;1.0;4;460;50;10;0;0;10;440;40;0;0;0;90;10;1.0;2.0;2.0;2.0;1.0
50714;1;2;2;2.0;4;0;60;0;0;0;20;640;20;0;0;0;90;20;1.0;2.0;2.0;1.0;2.0
50715;1;1;2;1.0;6;490;40;0;0;0;0;530;60;0;60;0;10;10;1.0;1.0;1.0;1.0;2.0
50721;2;1;2;1.0;6;290;20;10;0;0;50;400;70;0;10;0;20;20;1.0;1.0;2.0;1.0;2.0
50729;1;2;2;2.0;7;0;30;20;0;0;0;550;60;0;50;0;240;30;2.0;2.0;2.0;2.0;2.0
50729;2;2;1;2.0;7;0;50;20;0;0;0;560;80;0;70;0;280;0;1.0;2.0;2.0;2.0;2.0
50732;1;2;1;1.0;4;490;0;0;0;0;70;460;100;0;20;0;60;0;1.0;1.0;1.0;1.0;1.0
50732;2;2;1;1.0;4;0;0;20;0;0;0;550;120;0;110;0;60;0;1.0;1.0;1.0;1.0;2.0
50734;1;2;1;1.0;8;0;60;40;0;0;60;420;110;0;100;0;120;0;1.0;2.0;2.0;2.0;2.0
50734;2;2;2;1.0;7;0;60;60;0;0;60;460;130;0;170;0;60;?;1.0;2.0;2.0;2.0;2.0
50750;1;2;1;1.0;8;0;80;10;0;0;80;500;110;?;110;0;320;0;2.0;2.0;1.0;2.0;2.0
50750;2;2;2;1.0;7;0;100;40;0;0;0;530;110;0;120;10;280;30;2.0;2.0;1.0;2.0;2.0
50753;1;1;2;1.0;9;0;120;0;0;0;10;490;110;0;160;0;0;0;1.0;1.0;1.0;1.0;1.0
50753;2;1;1;1.0;8;0;10;0;0;0;10;450;120;0;130;0;90;0;2.0;1.0;1.0;1.0;1.0
50755;1;2;1;2.0;4;0;0;10;70;10;0;480;100;0;0;0;140;0;1.0;1.0;2.0;2.0;1.0
50755;2;2;2;2.0;4;0;0;0;150;0;?;490;90;0;100;0;110;0;1.0;1.0;2.0;1.0;1.0
50759;1;1;2;3.0;6;370;10;0;40;10;30;530;80;0;60;0;10;0;1.0;1.0;1.0;1.0;2.0
50759;2;1;1;3.0;5;440;10;0;10;20;0;480;80;0;0;0;90;0;1.0;2.0;1.0;1.0;1.0
50762;1;1;1;3.0;9;00:00;01:20;00:00;00:00;00:00;00:00;08:30;02:50;00:00;00:40;00:00;01:20;00:00;2.0;2.0;2.0;1.0;2.0
50764;1;2;2;1.0;4;0;0;0;?;0;70;420;110;0;110;0;90;0;1.0;1.0;2.0;1.0;2.0
50764;2;2;1;1.0;4;0;20;0;0;0;230;490;50;0;0;0;190;10;1.0;1.0;2.0;1.0;2.0
50766;1;1;1;1.0;9;0;0;50;0;0;30;540;140;0;20;0;210;0;120.0;180.0;120.0;60.0;0.0
50766;2;1;2;1.0;9;0;10;30;0;0;0;500;100;0;0;0;260;0;0.0;120.0;180.0;0.0;60.0
50769;1;1;1;2.0;4;0;110;20;90;10;10;590;100;0;10;0;0;30;2.0;2.0;2.0;1.0;2.0
50769;2;1;2;2.0;4;0;110;60;230;20;0;520;80;0;40;40;0;0;2.0;2.0;2.0;2.0;2.0
50770;1;1;2;1.0;6;220;30;50;0;0;50;490;80;0;40;0;100;0;1.0;2.0;1.0;1.0;2.0
50780;1;1;1;2.0;6;0;30;0;0;0;0;590;50;0;20;0;210;0;2.0;2.0;2.0;2.0;2.0
50780;2;1;2;2.0;6;0;70;20;0;0;0;660;120;0;20;0;170;0;2.0;2.0;2.0;1.0;1.0
50782;1;1;2;1.0;6;0;20;10;0;0;0;560;80;0;120;30;170;0;1.0;1.0;1.0;1.0;1.0
50782;2;1;1;1.0;7;0;50;0;0;0;0;600;90;0;0;0;40;0;1.0;1.0;1.0;1.0;2.0
50790;1;2;2;1.0;4;?;10;10;30;0;50;500;90;0;0;0;10;0;1.0;1.0;1.0;1.0;1.0
50790;2;2;1;1.0;5;260;50;0;30;0;0;430;30;0;20;0;240;0;1.0;1.0;1.0;1.0;1.0
50794;1;1;1;3.0;7;0;20;10;0;0;30;510;110;0;40;0;140;20;2.0;1.0;2.0;2.0;2.0
50794;2;1;2;3.0;8;0;0;20;0;0;30;510;110;0;40;0;180;10;2.0;1.0;2.0;1.0;1.0
50795;1;1;1;1.0;4;500;0;0;0;0;0;410;10;0;0;0;0;0;1.0;1.0;1.0;1.0;2.0
50795;2;1;2;1.0;4;300;0;0;0;0;0;510;40;0;0;0;0;0;1.0;1.0;2.0;2.0;1.0
50803;1;2;1;1.0;7;0;0;0;0;0;0;590;120;0;140;20;190;0;2.0;1.0;2.0;1.0;1.0
50809;1;2;1;1.0;7;500;70;10;10;0;0;350;150;0;30;0;220;0;1.0;2.0;1.0;2.0;1.0
50809;2;2;2;1.0;6;290;10;0;20;0;40;430;20;0;100;0;60;10;1.0;1.0;1.0;1.0;1.0
50813;1;1;1;1.0;8;0;30;0;0;0;0;600;110;0;0;0;130;0;2.0;1.0;2.0;1.0;2.0
50813;2;1;2;1.0;7;0;150;40;0;0;0;660;30;0;60;0;110;0;2.0;1.0;2.0;2.0;2.0
50814;1;2;2;1.0;8;0;30;20;0;0;0;430;120;0;90;0;0;0;1.0;1.0;2.0;1.0;2.0
50818;1;1;2;1.0;8;0;70;50;0;0;0;560;90;0;170;0;70;0;2.0;1.0;2.0;1.0;2.0
50819;1;2;1;1.0;7;0;50;0;0;0;0;600;100;0;100;0;110;0;2.0;2.0;2.0;1.0;2.0
50843;1;2;1;1.0;9;0;40;0;0;0;60;480;110;0;170;30;160;0;1.0;2.0;2.0;1.0;1.0
50843;2;2;2;1.0;9;0;70;30;0;0;0;520;70;0;60;0;200;10;1.0;?;2.0;1.0;2.0
50849;2;2;1;2.0;5;470;40;0;0;0;30;420;50;0;0;0;0;0;2.0;2.0;2.0;1.0;1.0
50856;2;2;2;1.0;7;460;60;60;0;0;30;540;140;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0
50860;1;2;1;1.0;7;0;60;20;0;0;20;530;70;0;50;0;180;0;1.0;2.0;1.0;1.0;1.0
50860;2;2;2;1.0;6;0;10;0;0;0;0;520;40;0;50;0;190;20;2.0;1.0;2.0;1.0;2.0
50872;1;1;2;1.0;7;0;20;0;0;40;10;480;120;0;0;0;0;20;2.0;2.0;1.0;1.0;2.0
50877;1;1;1;3.0;4;00:00;01:50;00:00;00:00;00:00;00:00;08:10;02:30;00:00;00:50;00:00;05:00;00:00;2.0;2.0;2.0;1.0;1.0
50877;2;1;2;3.0;4;10:10;00:20;00:10;00:10;00:00;00:00;08:30;00:50;00:00;00:10;00:00;00:00;00:00;1.0;1.0;2.0;1.0;1.0
50881;1;2;2;1.0;6;0;40;0;0;0;0;490;0;0;90;0;120;0;2.0;2.0;1.0;2.0;2.0
50883;1;1;2;1.0;9;0;60;50;0;0;40;640;10;0;10;10;160;0;2.0;2.0;1.0;1.0;2.0
50886;1;2;1;1.0;8;00:00;00:40;00:00;00:00;00:00;00:00;07:20;01:10;00:00;01:20;00:00;03:00;00:00;2.0;2.0;1.0;1.0;2.0
50887;1;1;1;1.0;4;0;80;20;140;30;0;640;80;0;0;0;20;0;2.0;2.0;2.0;1.0;1.0
50887;2;1;2;1.0;4;0;30;20;300;80;0;550;100;0;0;0;50;0;2.0;1.0;2.0;1.0;1.0
50888;1;2;2;2.0;8;00:00;00:50;?;00:00;00:00;00:20;09:30;02:10;00:00;00:40;00:00;04:10;01:00;1.0;1.0;1.0;1.0;1.0
50895;1;1;1;1.0;6;0;30;30;0;0;150;550;140;0;0;0;200;0;2.0;1.0;1.0;1.0;1.0
50897;1;2;1;1.0;6;00:00;00:10;00:00;00:00;00:00;00:00;06:00;01:20;00:00;00:00;00:00;12:20;00:10;?;?;?;?;?
50897;2;2;2;1.0;5;00:00;00:20;00:30;00:00;00:00;00:00;08:30;00:30;00:00;00:00;00:00;08:00;00:00;1.0;1.0;1.0;1.0;2.0
50901;1;1;1;1.0;8;0;0;0;0;0;60;?;80;0;130;0;240;0;2.0;2.0;2.0;2.0;2.0
50901;2;1;2;1.0;8;0;40;30;0;0;60;620;60;0;90;30;250;0;2.0;2.0;2.0;2.0;2.0
50914;1;1;2;1.0;5;0;0;10;0;0;?;520;100;?;20;0;40;0;?;1.0;1.0;1.0;1.0
50914;2;1;1;1.0;6;0;0;0;0;0;10;630;90;0;40;0;80;0;1.0;1.0;1.0;2.0;1.0
50918;1;1;1;3.0;9;0;10;20;0;0;0;720;200;0;70;10;120;0;2.0;2.0;2.0;2.0;2.0
50918;2;1;2;3.0;8;0;10;0;0;0;0;660;180;0;150;20;130;100;2.0;2.0;2.0;2.0;2.0
50922;1;1;1;1.0;5;170;130;40;100;0;40;490;70;0;110;0;40;10;1.0;1.0;?;1.0;1.0
50922;2;1;2;1.0;5;0;120;30;260;100;10;470;90;0;60;0;30;10;1.0;1.0;1.0;1.0;1.0
50923;1;1;2;2.0;7;0;140;10;0;0;20;570;90;0;110;0;160;10;2.0;1.0;2.0;1.0;2.0
50923;2;1;1;2.0;8;0;20;20;0;0;30;540;50;0;10;40;430;0;2.0;1.0;2.0;1.0;2.0
50944;1;2;1;1.0;4;0;0;0;0;0;20;760;120;0;20;0;130;10;1.0;1.0;1.0;1.0;2.0
50955;2;1;1;3.0;5;00:00;00:00;00:00;00:00;00:00;00:00;07:30;02:20;00:00;00:30;00:00;05:50;00:00;?;?;?;?;?
50958;1;2;1;1.0;8;0;0;0;0;0;50;570;80;0;0;0;410;0;2.0;1.0;1.0;2.0;1.0
50958;2;2;2;1.0;8;0;120;0;0;0;0;580;90;0;40;0;220;0;2.0;1.0;2.0;1.0;2.0
50959;1;1;2;1.0;7;0;110;40;0;0;0;660;90;0;80;0;180;0;1.0;1.0;1.0;?;2.0
50959;2;1;1;1.0;7;0;20;0;0;0;0;650;100;0;80;0;180;10;1.0;1.0;2.0;2.0;2.0
50986;1;1;1;2.0;7;0;100;30;0;0;60;?;110;0;70;0;120;0;1.0;2.0;1.0;1.0;1.0
50989;1;1;2;2.0;5;130;40;0;0;0;0;600;50;0;0;0;320;0;1.0;2.0;2.0;1.0;1.0
50989;2;1;1;2.0;6;130;30;0;10;80;10;610;30;0;40;0;230;?;2.0;2.0;2.0;1.0;1.0
50992;1;1;1;3.0;9;00:00;00:10;00:00;00:00;00:00;01:10;08:20;00:10;00:00;00:00;00:00;05:30;00:00;2.0;1.0;2.0;1.0;1.0
50997;1;1;1;1.0;6;0;110;0;0;0;0;770;80;0;60;0;180;0;2.0;2.0;2.0;1.0;1.0
50997;2;1;2;1.0;6;0;30;30;0;0;10;630;40;0;40;0;20;20;1.0;1.0;2.0;1.0;2.0
50998;2;1;2;1.0;6;360;30;10;0;0;70;450;40;0;50;0;0;0;1.0;1.0;1.0;1.0;2.0
50999;1;2;2;3.0;8;0;40;40;0;0;20;560;70;0;100;0;200;0;2.0;2.0;2.0;2.0;2.0
50999;2;2;1;3.0;8;0;0;0;0;0;30;570;80;0;160;0;230;0;2.0;2.0;2.0;2.0;2.0
51002;1;2;1;1.0;8;00:00;00:30;00:00;00:00;00:00;00:00;07:10;01:20;00:00;01:10;00:00;04:20;00:00;2.0;1.0;1.0;2.0;2.0
51009;1;1;1;1.0;6;100;30;0;0;0;0;640;120;0;0;0;160;30;2.0;2.0;1.0;2.0;2.0
51009;2;1;2;1.0;6;0;110;0;0;0;0;560;110;0;0;0;240;0;2.0;2.0;1.0;2.0;2.0
51014;1;2;2;1.0;7;0;100;0;0;0;90;510;60;0;300;0;60;70;1.0;1.0;1.0;1.0;2.0
51014;2;2;1;1.0;7;0;60;0;0;0;90;550;60;0;230;0;160;10;1.0;1.0;2.0;1.0;2.0
51018;1;2;2;1.0;4;300;10;0;0;0;80;200;350;0;0;0;70;0;1.0;2.0;2.0;1.0;2.0
51018;2;2;1;1.0;4;0;0;0;0;0;0;470;310;0;0;0;100;0;1.0;1.0;1.0;1.0;1.0
51021;1;1;2;1.0;6;0;90;20;0;0;10;480;60;0;10;0;170;0;1.0;1.0;2.0;1.0;1.0
51021;2;1;1;1.0;3;0;0;0;0;0;0;520;60;0;0;0;310;10;1.0;2.0;2.0;1.0;1.0
51026;1;2;2;1.0;5;0;80;20;250;70;20;490;80;0;40;0;70;0;1.0;2.0;2.0;2.0;?
51026;2;2;1;1.0;5;0;10;0;160;160;0;370;150;0;20;0;30;0;1.0;2.0;1.0;1.0;1.0
51038;1;2;2;1.0;5;70;90;0;0;0;0;520;50;0;310;0;170;0;1.0;2.0;2.0;1.0;1.0
51043;1;2;1;2.0;7;0;0;0;0;0;0;540;50;0;0;0;410;0;1.0;2.0;2.0;1.0;1.0
51043;2;2;2;2.0;7;0;50;30;0;0;40;530;80;0;40;0;400;0;1.0;2.0;2.0;1.0;1.0
51047;1;1;2;1.0;6;0;?;0;0;0;0;540;60;0;0;0;0;20;2.0;2.0;1.0;1.0;1.0
51048;1;1;2;2.0;6;0;40;10;0;0;0;490;90;0;30;0;0;30;1.0;1.0;2.0;1.0;1.0
51048;2;1;2;2.0;3;0;20;0;0;0;0;580;70;0;10;0;60;10;1.0;1.0;2.0;1.0;1.0
51049;1;1;1;1.0;8;00:00;00:10;00:00;00:00;00:00;00:30;10:00;02:10;00:00;00:30;00:00;01:30;00:00;1.0;1.0;1.0;1.0;1.0
51049;2;1;2;1.0;8;00:00;01:30;00:00;00:00;00:00;00:10;06:30;02:30;00:00;01:40;00:00;02:00;00:50;1.0;2.0;1.0;2.0;2.0
51054;1;1;1;2.0;8;0;30;0;0;0;20;370;130;0;0;0;710;20;2.0;2.0;1.0;1.0;2.0
51056;1;2;1;2.0;4;0;100;0;30;10;0;670;90;0;20;0;190;0;1.0;1.0;1.0;1.0;2.0
51056;2;2;2;2.0;5;0;0;10;70;30;0;590;40;0;60;0;270;20;1.0;1.0;1.0;1.0;2.0
51057;2;2;1;1.0;7;0;70;0;0;0;0;460;70;0;0;150;0;0;2.0;2.0;2.0;2.0;2.0
51065;1;1;2;1.0;7;0;10;10;0;0;40;540;60;0;50;20;130;0;2.0;2.0;2.0;1.0;1.0
51065;2;1;1;1.0;8;0;20;?;0;0;?;570;110;0;0;0;80;0;?;?;?;?;?
51072;1;1;1;1.0;7;0;30;0;0;0;0;600;190;0;0;0;0;0;1.0;2.0;2.0;1.0;2.0
51072;2;1;2;1.0;7;0;0;0;0;0;0;600;180;0;0;0;0;0;1.0;?;2.0;1.0;2.0
51073;1;1;2;1.0;7;510;0;0;0;0;0;450;30;0;0;0;390;0;2.0;1.0;1.0;1.0;2.0
51073;2;1;1;1.0;7;0;40;0;0;0;0;540;70;0;0;0;510;0;2.0;2.0;1.0;2.0;1.0
51075;1;1;2;3.0;8;0;30;20;0;0;20;550;50;0;50;0;330;30;2.0;1.0;2.0;1.0;2.0
51075;2;1;1;3.0;9;0;20;10;0;0;20;710;50;0;240;0;100;0;?;?;?;?;?
51076;1;2;2;1.0;3;0;30;20;0;0;0;580;50;0;0;0;230;0;1.0;1.0;1.0;1.0;2.0
51077;1;1;2;3.0;7;0;120;60;0;0;0;470;120;0;130;0;140;0;2.0;1.0;1.0;1.0;2.0
51078;1;2;1;1.0;9;0;0;0;0;0;0;650;120;0;180;30;0;0;2.0;1.0;2.0;1.0;2.0
51086;1;2;2;1.0;9;0;?;20;0;0;0;510;140;0;40;0;210;0;2.0;2.0;2.0;2.0;2.0
51086;2;2;1;1.0;9;0;50;30;0;0;70;520;120;0;70;0;270;0;2.0;2.0;2.0;2.0;1.0
51090;1;2;2;1.0;6;0;70;40;0;0;0;530;110;0;0;0;100;20;1.0;1.0;2.0;2.0;2.0
51093;1;2;2;2.0;5;0;60;10;0;0;20;540;100;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0
51100;1;1;2;1.0;5;00:00;01:00;00:10;00:20;00:00;00:30;10:20;02:00;00:00;00:20;00:00;00:00;00:00;1.0;2.0;1.0;1.0;2.0
51100;2;1;1;1.0;5;06:10;00:10;00:00;00:20;00:00;00:00;07:40;00:40;00:00;00:30;00:00;00:50;00:00;?;2.0;1.0;1.0;2.0
51101;1;2;1;2.0;7;110;0;?;0;0;20;540;40;0;?;0;220;0;2.0;2.0;?;2.0;2.0
51101;2;2;2;2.0;6;0;90;20;20;0;0;580;30;0;210;0;150;0;2.0;2.0;2.0;1.0;2.0
51104;1;1;2;1.0;3;0;0;0;0;0;70;590;90;0;0;0;0;0;1.0;1.0;2.0;1.0;2.0
51108;1;1;2;1.0;5;590;0;0;0;0;20;350;50;0;0;0;0;0;2.0;2.0;1.0;2.0;2.0
51117;1;2;1;1.0;4;600;0;0;0;0;20;550;90;0;0;0;110;0;2.0;2.0;2.0;2.0;1.0
51117;2;2;2;1.0;4;0;0;0;270;60;100;350;160;0;0;0;10;0;2.0;2.0;2.0;2.0;2.0
51123;1;2;2;1.0;9;0;10;0;0;0;60;640;60;0;0;0;640;0;2.0;2.0;2.0;2.0;2.0
51126;1;1;1;2.0;4;440;50;0;0;0;0;480;70;0;0;?;80;0;1.0;1.0;2.0;1.0;1.0
51126;2;1;2;2.0;4;410;30;20;10;20;0;540;40;0;10;0;60;0;1.0;1.0;1.0;1.0;2.0
51129;1;2;2;3.0;5;0;70;40;160;?;110;550;40;0;20;0;60;0;1.0;2.0;2.0;2.0;1.0
51130;1;1;2;2.0;9;00:00;00:20;00:20;00:00;00:00;00:00;08:40;00:40;00:00;02:50;00:00;08:00;00:00;2.0;2.0;2.0;2.0;2.0
51133;1;1;2;1.0;7;0;80;20;0;0;0;460;60;0;20;120;110;0;2.0;1.0;1.0;2.0;2.0
51136;1;1;1;1.0;5;0;30;10;0;0;0;650;150;0;40;0;180;0;2.0;1.0;2.0;1.0;2.0
51136;2;1;2;1.0;5;0;10;0;0;0;0;650;180;0;80;0;40;30;?;?;?;?;?
51141;1;1;2;1.0;3;07:40;00:50;00:20;00:00;00:00;00:00;08:30;01:20;00:00;00:00;00:00;01:00;00:00;1.0;1.0;2.0;1.0;2.0
51141;2;1;1;1.0;3;00:00;01:20;00:10;00:00;00:00;00:00;10:30;01:20;00:00;00:00;00:00;04:10;00:00;1.0;2.0;2.0;1.0;1.0
51145;1;1;2;2.0;7;0;10;0;0;0;0;580;90;0;50;10;120;10;2.0;1.0;2.0;?;2.0
51147;1;2;2;1.0;3;06:10;00:00;00:00;00:00;00:00;00:00;11:10;00:40;00:00;00:00;00:00;00:50;01:20;1.0;2.0;1.0;1.0;2.0
51159;1;2;1;1.0;7;0;0;10;0;0;?;560;120;0;80;0;230;0;1.0;1.0;1.0;1.0;1.0
